Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Event Id,Event Date,Event Duration
0.1289062500,1,-54649.3359375000,-37771.3398437500,-50846.9687500000,-2507.3000488281,-79652.6875000000,-44183.3281250000,-73392.1796875000,-34565.2500000000,-102070.0390625000,-98795.8593750000,-64110.8046875000,-57619.0937500000,-79507.8437500000,-51567.5273437500,-65909.1796875000,-67460.3359375000,,,
0.1328125000,1,-54661.8828125000,-37782.2695312500,-50858.5742187500,-2514.2233886719,-79659.3828125000,-44186.2734375000,-73390.8906250000,-34568.1093750000,-102070.0390625000,-98801.5312500000,-64118.0312500000,-57628.1601562500,-79514.5000000000,-51578.2343750000,-65916.2187500000,-67472.1875000000,,,
0.1367187500,1,-54676.6875000000,-37794.0234375000,-50872.9101562500,-2526.5734863281,-79670.2109375000,-44201.4101562500,-73393.5390625000,-34575.0937500000,-102070.0390625000,-98817.9062500000,-64129.8710937500,-57638.6367187500,-79523.6093750000,-51594.2695312500,-65928.1015625000,-67479.8046875000,,,
0.1406250000,1,-54674.0976562500,-37787.9882812500,-50867.4960937500,-2525.3933105469,-79672.1171875000,-44206.0585937500,-73405.6015625000,-34575.8125000000,-102070.0390625000,-98824.3437500000,-64128.4335937500,-57638.0156250000,-79524.4140625000,-51599.2460937500,-65929.5937500000,-67477.0546875000,,,
0.1445312500,1,-54669.7539062500,-37783.3867187500,-50862.4335937500,-2520.8547363281,-79663.0781250000,-44200.7265625000,-73405.8046875000,-34570.0468750000,-102070.0390625000,-98820.2578125000,-64121.1718750000,-57634.2070312500,-79517.1171875000,-51594.2851562500,-65924.9609375000,-67470.3046875000,,,
0.1484375000,1,-54665.0078125000,-37781.0507812500,-50858.6132812500,-2516.9123535156,-79658.6406250000,-44190.1171875000,-73370.1328125000,-34562.6210937500,-102070.0390625000,-98806.1796875000,-64112.6054687500,-57629.3046875000,-79508.0468750000,-51587.9804687500,-65922.4296875000,-67465.8671875000,,,
0.1523437500,1,-54669.4492187500,-37786.4296875000,-50862.7617187500,-2520.8061523438,-79656.8828125000,-44185.5078125000,-73367.7812500000,-34565.0312500000,-102070.0390625000,-98803.3906250000,-64114.7226562500,-57633.7695312500,-79509.3515625000,-51589.5390625000,-65927.9062500000,-67474.7109375000,,,
0.1562500000,1,-54669.3281250000,-37786.0898437500,-50863.6132812500,-2521.0495605469,-79658.7109375000,-44188.6953125000,-73400.4296875000,-34570.8710937500,-102070.0390625000,-98807.8281250000,-64119.8789062500,-57638.7695312500,-79513.0781250000,-51592.6757812500,-65934.9375000000,-67477.7656250000,,,
0.1601562500,1,-54657.8554687500,-37772.3164062500,-50852.2500000000,-2513.7487792969,-79651.1875000000,-44188.5625000000,-73408.3828125000,-34569.9101562500,-102070.0390625000,-98806.0390625000,-64117.2539062500,-57638.5390625000,-79510.5078125000,-51588.9765625000,-65934.0937500000,-67472.4843750000,,,
0.1640625000,1,-54651.9531250000,-37765.4765625000,-50845.7734375000,-2511.4125976563,-79642.0390625000,-44187.7343750000,-73414.9296875000,-34569.9101562500,-102070.0390625000,-98802.4375000000,-64117.3007812500,-57638.1835937500,-79510.5234375000,-51586.7617187500,-65932.8671875000,-67472.1796875000,,,
0.1679687500,1,-54663.2812500000,-37780.3085937500,-50857.8085937500,-2520.0639648438,-79644.7031250000,-44191.2851562500,-73422.4843750000,-34577.9179687500,-102070.0390625000,-98804.5781250000,-64122.6796875000,-57644.4023437500,-79516.3828125000,-51587.2734375000,-65934.2890625000,-67481.3906250000,,,
0.1718750000,1,-54674.9375000000,-37791.8320312500,-50867.7968750000,-2527.0847167969,-79645.1953125000,-44193.2343750000,-73411.1484375000,-34580.5195312500,-102070.0390625000,-98801.7343750000,-64124.9062500000,-57648.6992187500,-79518.8281250000,-51588.9414062500,-65936.0546875000,-67486.5937500000,,,
0.1757812500,1,-54672.3945312500,-37790.2851562500,-50866.9843750000,-2527.2915039063,-79636.4453125000,-44190.0820312500,-73417.9843750000,-34580.5195312500,-102070.0390625000,-98805.9531250000,-64125.0156250000,-57648.4062500000,-79519.0000000000,-51595.0859375000,-65937.8203125000,-67486.3281250000,,,
0.1796875000,1,-54661.3945312500,-37779.2031250000,-50859.5859375000,-2518.2387695313,-79650.8515625000,-44193.3906250000,-73448.0390625000,-34581.7382812500,-102070.0390625000,-98806.3437500000,-64121.9140625000,-57642.9179687500,-79515.4375000000,-51595.3671875000,-65933.9531250000,-67480.5859375000,,,
0.1835937500,1,-54645.7460937500,-37762.4726562500,-50845.7734375000,-2505.9614257813,-79641.2890625000,-44184.0351562500,-73431.0781250000,-34573.5625000000,-102070.0390625000,-98797.5859375000,-64111.6445312500,-57631.5156250000,-79504.4609375000,-51587.3945312500,-65922.3046875000,-67465.9453125000,,,
0.1875000000,1,-54644.6640625000,-37762.4218750000,-50844.8984375000,-2504.4040527344,-79637.1406250000,-44176.5156250000,-73401.0468750000,-34568.0234375000,-102070.0390625000,-98789.2031250000,-64106.1171875000,-57628.1601562500,-79501.0312500000,-51580.2304687500,-65914.4062500000,-67463.9062500000,,,
0.1914062500,1,-54664.8242187500,-37783.1093750000,-50865.5000000000,-2521.0373535156,-79647.2968750000,-44182.2460937500,-73407.8593750000,-34579.0859375000,-102070.0390625000,-98795.2031250000,-64116.1679687500,-57639.0507812500,-79511.6875000000,-51585.4257812500,-65920.3984375000,-67475.6250000000,,,
0.1953125000,1,-54680.1679687500,-37799.4960937500,-50877.8750000000,-2533.9106445313,-79656.6093750000,-44193.4140625000,-73419.2031250000,-34590.5000000000,-102070.0390625000,-98808.6250000000,-64127.9726562500,-57651.6054687500,-79522.3359375000,-51593.7617187500,-65927.6484375000,-67485.7109375000,,,
